종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"178920","PI첨단소재","KOSPI",,"28350","500","1.80","28150","28700","27900","307364","8684008550","832535228700","29366322"
"024940","PN풍년","KOSDAQ","벤처기업부","4135","50","1.22","4085","4150","4085","3294","13532265","41350000000","10000000"
"005490","POSCO홀딩스","KOSPI",,"401500","-2000","-0.50","403500","404000","400500","27063","10875053500","33955348845000","84571230"
"218410","RFHIC","KOSDAQ","우량기업부","17710","460","2.67","17250","17820","17110","116331","2047072600","469039467820","26484442"
"327260","RF머트리얼즈","KOSDAQ","벤처기업부","9100","-90","-0.98","9160","9180","9080","1013","9225000","76742402100","8433231"
"091340","S&K폴리텍","KOSDAQ","중견기업부","2355","25","1.07","2315","2375","2315","4349","10223295","27562262955","11703721"
"010950","S-Oil","KOSPI",,"71000","600","0.85","70700","71000","70500","35517","2512260400","7993378232000","112582792"
"010955","S-Oil우","KOSPI",,"47950","150","0.31","47800","47950","47800","373","17865200","192851399650","4021927"
"419530","SAMG엔터","KOSDAQ","기술성장기업부","13600","150","1.12","13480","13610","13470","1143","15489590","116836648000","8590930"
"019550","SBI인베스트먼트","KOSDAQ","중견기업부","878","4","0.46","877","878","872","14673","12824522","142294452850","162066575"
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)","3480","-50","-1.42","3470","3480","3465","1160","4025680","83702839200","24052540"
"034120","SBS","KOSPI",,"22600","-50","-0.22","22600","22650","22550","4172","94242200","419257978800","18551238"
"036120","SCI평가정보","KOSDAQ","중견기업부","2805","10","0.36","2805","2810","2795","8239","23106850","99577500000","35500000"
"246960","SCL사이언스","KOSDAQ","기술성장기업부","8750","140","1.63","8570","8920","8570","803","6961900","63322262500","7236830"
"099220","SDN","KOSDAQ","중견기업부","1744","9","0.52","1733","1772","1720","805919","1409358309","97963638384","56171811"
"036540","SFA반도체","KOSDAQ","우량기업부","5870","10","0.17","5890","5890","5810","120193","703434280","965381978610","164460303"
"255220","SG","KOSDAQ","중견기업부","1602","17","1.07","1581","1619","1581","184764","295402694","98003775780","61175890"
"040610","SG&G","KOSDAQ","중견기업부","1625","-6","-0.37","1631","1634","1621","3788","6173035","55391693500","34087196"
"049470","SGA","KOSDAQ","중견기업부","490","0","0.00","0","0","0","0","0","28842502010","58862249"
"184230","SGA솔루션즈","KOSDAQ","벤처기업부","726","1","0.14","721","726","718","20357","14702355","45446990886","62599161"
"016250","SGC E&C","KOSDAQ","우량기업부","16250","-110","-0.67","16320","16360","16180","52","849190","52708256250","3243585"
"005090","SGC에너지","KOSPI",,"25750","900","3.62","25000","26100","25000","41959","1082451450","371040324750","14409333"
"001380","SG글로벌","KOSPI",,"2030","20","1.00","2035","2035","2015","5962","12034035","91277210290","44964143"
"004060","SG세계물산","KOSPI",,"409","3","0.74","407","411","406","135130","55026564","82791808640","202424960"
"001770","SHD","KOSPI",,"18230","40","0.22","18190","18230","18190","162","2947310","22147225940","1214878"
"002360","SH에너지화학","KOSPI",,"646","4","0.62","641","647","641","103014","66372709","71792389580","111133730"
"009160","SIMPAC","KOSPI",,"4315","0","0.00","4390","4395","4315","1484","6422480","282328361540","65429516"
"123700","SJM","KOSPI",,"3620","20","0.56","3600","3625","3595","3989","14373430","56489730760","15604898"
"025530","SJM홀딩스","KOSPI",,"3920","0","0.00","3925","3950","3910","899","3528720","58541311360","14934008"
"034730","SK","KOSPI",,"163900","-900","-0.55","164800","165000","163300","7757","1273539000","11997206123100","73198329"
"011790","SKC","KOSPI",,"117500","-1700","-1.43","119600","119900","116900","54351","6416961600","4449525015000","37868298"
"018670","SK가스","KOSPI",,"162000","1200","0.75","162400","162400","160900","455","73471600","1495299528000","9230244"
"001740","SK네트웍스","KOSPI",,"5170","40","0.78","5140","5180","5080","101196","519682040","1144006753340","221277902"
"006120","SK디스커버리","KOSPI",,"44650","-200","-0.45","44600","44900","44550","2455","109662800","838788425750","18785855"
"006125","SK디스커버리우","KOSPI",,"32650","0","0.00","32650","32650","32600","107","3493450","44353555750","1358455"
"210980","SK디앤디","KOSPI",,"12050","100","0.84","11880","12100","11880","25578","307564830","205791466500","17078130"
"395400","SK리츠","KOSPI",,"4245","15","0.35","4230","4245","4185","65525","277135455","1146713222355","270132679"
"302440","SK바이오사이언스","KOSPI",,"60200","300","0.50","59800","60500","59600","16927","1019173700","4625030550000","76827750"
"326030","SK바이오팜","KOSPI",,"89100","-400","-0.45","89800","89800","88600","3464","307952500","6977710575000","78313250"
"402340","SK스퀘어","KOSPI",,"78200","-400","-0.51","78500","78500","77300","13456","1048330500","10537446872000","134749960"
